"","HSBC","CLP","CK"
"04/06/1999",79.5401914083223,25.2025723077935,59.4122076982092
"07/06/1999",82.5192247944018,25.678092540016,60.5817393458118
"08/06/1999",82.8171281330098,25.4063666930317,60.5817393458118
"09/06/1999",82.5192247944018,25.3384352312857,60.8156456753323
"10/06/1999",82.5192247944018,25.2025723077935,60.3478330162913
"11/06/1999",84.0087414874416,25.4742981547778,60.3478330162913
"14/06/1999",84.9024515032654,25.3384352312857,59.6461140277297
"15/06/1999",84.6045481646575,25.2025723077935,59.4122076982092
"16/06/1999",84.9024515032654,25.678092540016,60.5817393458118
"17/06/1999",86.6898715349131,25.61016107827,61.9851773229348
"21/06/1999",89.3710015823847,26.0856813104925,66.8972102428655
"22/06/1999",88.1793882279529,25.8818869252543,67.131116572386
"23/06/1999",88.1793882279529,26.0177498487464,66.195491254304
"24/06/1999",87.285678212129,26.4253386192229,65.9615849247835
"25/06/1999",86.9877748735211,26.0177498487464,66.4293975838245
"28/06/1999",86.0940648576972,25.7460240017621,66.4293975838245
"29/06/1999",85.2003548418734,25.7460240017621,66.8972102428655
"30/06/1999",84.3066448260495,25.61016107827,64.5581469476604
"02/07/1999",88.4772915665608,25.8818869252543,67.8328355609475
"05/07/1999",90.7115666061204,25.7460240017621,69.2362735380706
"06/07/1999",89.8178565902966,25.9498183870003,67.598929231427
"07/07/1999",90.2647115982085,25.61016107827,67.131116572386
"08/07/1999",89.8178565902966,25.678092540016,67.3650229019065
"09/07/1999",89.1475740784287,25.8818869252543,67.598929231427
"12/07/1999",88.4772915665608,25.678092540016,66.4293975838245
"13/07/1999",88.7007190705168,25.4063666930317,65.9615849247835
"14/07/1999",86.0195890230452,25.4063666930317,65.4937722657425
"15/07/1999",86.2430165270012,25.8818869252543,65.4937722657425
"16/07/1999",85.7961615190893,25.4063666930317,64.0903342886194
"19/07/1999",85.5727340151333,25.2025723077935,63.6225216295784
"20/07/1999",85.3493065111773,25.3384352312857,65.4937722657425
"21/07/1999",83.5618864795296,25.2025723077935,64.3242406181399
"22/07/1999",84.0087414874416,25.1346408460474,63.6225216295784
"23/07/1999",82.4447489597498,24.7949835373171,61.9851773229348
"26/07/1999",80.4339014241462,24.4553262285867,61.0495520048528
"27/07/1999",81.551038943926,24.1836003816024,62.9208026410169
"28/07/1999",81.551038943926,24.0477374581103,63.6225216295784
"29/07/1999",80.8807564320581,24.0477374581103,63.3886153000579
"30/07/1999",81.774466447882,23.9118745346181,63.6225216295784
"02/08/1999",84.2321689913975,23.9118745346181,64.5581469476604
"03/08/1999",84.4555964953535,23.9798059963642,64.7920532771809
"04/08/1999",86.6898715349131,24.1156689198563,64.7920532771809
"05/08/1999",84.6790239993095,24.0477374581103,63.1547089705374
"06/08/1999",83.7853139834856,24.0477374581103,62.9208026410169
"09/08/1999",81.551038943926,23.9118745346181,62.9208026410169
"10/08/1999",80.2104739201902,23.5042857641417,61.5173646638938
"11/08/1999",79.3167639043664,23.0966969936652,60.1139266867708
"12/08/1999",81.551038943926,23.1646284554113,61.2834583343733
"13/08/1999",81.551038943926,23.3684228406495,59.1783013686887
"16/08/1999",83.7693803872767,23.9118745346181,59.6461140277297
"17/08/1999",83.9951738654095,23.9798059963642,59.6461140277297
"18/08/1999",84.6725542998079,24.3873947668406,61.2834583343733
"19/08/1999",86.4789021248705,24.5232576903328,62.6868963114963
"20/08/1999",86.9304890811362,24.8629149990632,64.3242406181399
"23/08/1999",86.9304890811362,24.8629149990632,65.0259596067014
"24/08/1999",87.3820760374018,24.5911891520789,65.2598659362219
"25/08/1999",86.7046956030033,24.6591206138249,65.2598659362219
"26/08/1999",88.2852499499331,24.6591206138249,65.9615849247835
"27/08/1999",86.7046956030033,24.5232576903328,63.6225216295784
"30/08/1999",88.2852499499331,25.3384352312857,64.5581469476604
"31/08/1999",86.9304890811362,24.9987779225553,63.1547089705374
"01/09/1999",87.3820760374018,25.1909708905593,64.0903342886194
"02/09/1999",85.8015216904721,24.7791294046101,63.1547089705374
"03/09/1999",84.6725542998079,24.5045684139773,62.4529899819758
"06/09/1999",85.8015216904721,24.5045684139773,63.6225216295784
"07/09/1999",86.2531086467377,24.6418489092937,63.8564279590989
"08/09/1999",86.4789021248705,24.5045684139773,64.3242406181399
"09/09/1999",87.6078695155346,25.6028123765084,66.195491254304
"10/09/1999",87.156282559269,25.2596111382175,66.8972102428655
"13/09/1999",86.7046956030033,25.1223306429011,67.3650229019065
"14/09/1999",85.5757282123392,25.5341721288503,67.3650229019065
"15/09/1999",83.9951738654095,24.9850501475847,64.7920532771809
"17/09/1999",83.317793431011,25.3968916335338,64.7920532771809
"20/09/1999",83.317793431011,25.465531881192,64.7920532771809
"21/09/1999",82.8662064747454,25.7400928718248,64.0903342886194
"22/09/1999",81.5114456059485,25.3968916335338,63.1547089705374
"23/09/1999",81.7372390840813,25.9460136147994,63.6225216295784
"24/09/1999",81.5114456059485,25.6714526241666,62.9208026410169
"27/09/1999",80.83406517155,25.1223306429011,61.0495520048528
"28/09/1999",81.0598586496828,25.2596111382175,61.7512709934143
"29/09/1999",80.83406517155,25.2596111382175,61.2834583343733
"30/09/1999",80.3824782152843,25.0536903952429,60.5817393458118
"04/10/1999",81.5114456059485,25.9460136147994,59.4122076982092
