HSBC,CLP,CK
56.984806,59.136059,111.653816
57.350098,59.396374,110.091606
57.471851,59.26622,108.073044
57.147163,59.222832,107.487312
57.268925,58.919117,107.096542
57.187733,58.962502,107.096542
57.512444,59.309589,109.961349
57.187733,58.875732,108.919273
57.471851,58.919117,107.487312
59.907112,59.439758,109.375633
62.058228,59.222832,109.831085
62.017654,59.222832,109.11512
62.869991,59.396374,109.831085
62.464127,58.962502,109.700821
61.368248,59.613304,110.352119
60.759441,59.700077,108.333565
60.434738,59.439758,107.617584
60.678272,59.830231,104.948616
62.139412,59.613304,106.250305
61.490017,59.222832,105.92511
61.002968,59.049282,105.468742
60.678272,58.962502,105.273811
60.718864,59.136059,105.404076
61.408844,59.873619,109.700821
61.002968,59.569916,109.049522
60.597084,59.352993,109.765495
60.556507,59.396374,109.179794
60.90535,59.439758,111.52356
61.643589,59.873619,112.109268
61.192448,59.222832,107.487312
60.823318,59.309589,107.669495
60.24913,58.658798,110.220039
60.823318,58.832352,110.220039
60.577236,58.658798,111.768585
60.331161,58.921253,111.950783
60.618252,59.008732,107.487312
60.495209,58.833771,104.116966
59.962036,58.965004,104.116966
60.331161,57.608978,102.84169
60.085068,57.434006,102.021866
59.756973,56.734119,100.74659
60.003048,56.734119,101.019859
60.085068,56.952835,103.11496
59.551895,56.384182,102.112961
59.018719,56.734119,102.84169
58.977707,56.471676,103.479309
59.387848,56.821613,103.843681
59.469864,57.82769,106.394234
60.24913,58.265106,106.029861
60.454193,58.615055,107.669495
60.413185,57.783951,107.305145
59.921024,57.521477,106.394234
59.018719,57.477749,104.025864
57.624252,56.952835,102.386223
57.542233,57.652718,103.752594
57.050068,57.040318,103.661514
57.050068,57.521477,102.750587
55.696606,57.171543,99.198044
56.147755,57.82769,100.200035
53.933014,56.384182,95.827682
55.57357,56.034248,98.924774
55.860653,56.952835,101.110954
56.639927,57.259029,102.112961
56.229778,57.127804,102.021866
56.557903,57.30278,102.204033
57.337158,57.346527,102.112961
57.665268,57.652718,104.845673
58.075401,57.696461,104.754593
58.116421,57.783951,105.118958
57.542233,57.346527,104.299133
57.706284,57.346527,104.208054
56.721958,57.521477,104.390221
55.57357,56.952835,101.384232
56.475864,57.434006,101.839676
57.050068,57.215298,101.748589
57.091072,57.171543,102.386223
57.1731,57.608978,104.845673
58.280468,57.521477,103.570404
