EY,CFTP,ln_MV,DY,BTME,DTE,HSI
0.025838523,0.020734386,24.57406628,0,2.221928753,0.071764183,0
0.019475257,0.007241111,22.95572244,1.030927812,2.231663898,1.348734655,0
0.08068684,0.083431161,23.17816136,1.697266082,1.906858986,0.106436092,0
0.103213512,0.068431711,23.39045158,6.863513508,0.441372472,0.259905217,0
0.027755024,0.055288332,24.07102851,0,1.980854263,0.02005106,0
0.020293939,0.070106122,26.36380159,0.579658765,1.413591491,0.659248142,0
-0.03676585,-0.007481592,22.70509662,0,5.793309867,0.040414466,0
0.203533106,0.153446921,22.55684441,6.089558154,2.154911195,0.030389343,0
0.181579735,0.178667691,23.14992413,6.307816168,1.134052698,0.050569154,0
0.108670358,0.287733976,25.49079669,4.138622158,1.626927047,1.086407329,0
0.161171024,-0.240260732,23.13762384,4.64115656,0.455561146,1.661232449,0
0.112043832,0.238972103,24.87571192,4.166666694,1.480023116,1.12082208,0
0.163873075,0.081194681,23.13914938,3.877194523,1.539941281,0.265502333,0
0.124498946,0.018010825,25.66372324,4.151932791,0.736256202,0.127911645,1
0.069082672,-0.045190957,22.56696337,2.041978876,1.149914728,0.624956613,0
0.207386603,-0.286315223,23.09279285,12.01030904,1.008249724,2.541309732,0
0.156403414,-0.097141245,24.46766988,5.409556173,0.579833973,1.025663645,0
0.031725857,0.020965713,24.02618567,1.666670409,3.655446563,0.608799331,0
0.090425229,0.049320016,23.16705726,0,0.707134145,0.42982922,0
0.009100626,-0.016537626,24.4956714,0.163042959,10.81029067,0.700360111,0
0.176626369,0.104052152,22.92743988,5.309734724,1.117798693,1.157267872,0
0.041494687,-0.086492525,27.46180872,5.683538682,0.638271713,0.441913585,1
0.040494921,0.080086077,22.7476362,1.048565149,0.847245283,0.418545606,0
0.091094467,0.117478266,23.87592075,3.788749843,2.263461353,0.075008207,0
0.129945343,0.035496926,24.26590131,6.217216283,1.657742995,0.516862657,0
0.10203794,0.063659331,24.66904058,2.869949581,1.867696415,0.409099672,0
0.065562108,-0.026272554,24.61323538,3.418308248,1.686623986,0.547473842,0
0.054071975,0.048336874,25.23267284,1.025703996,3.826962315,1.312623009,0
0.164429008,0.141480296,26.72923807,8.315291234,0.829802929,0.350780633,1
0.159752018,-0.416232674,24.51819981,5.870479759,1.351091776,1.54452443,0
0.08229141,0.020511538,22.85786942,2.890085688,1.760761401,0.709808027,0
-0.001996072,-0.199686364,24.90121195,4.416793711,0.805748832,1.92091552,0
0.116394021,0.106670508,26.52288065,3.579497042,2.126412479,0.086102106,0
0.158288792,-0.070891145,24.11827757,3.077478884,0.570014851,1.297206736,0
0.137891903,0.148621339,23.36001816,4.698093438,1.462025544,0.619024147,0
0.117150667,-0.221775612,23.44869435,0,1.338855523,1.110218652,0
0.177643294,0.14432406,22.70215827,6.529209796,0.594027348,0.207708118,0
0.186142347,0.237433544,28.08967661,5.53134955,0.660008879,1.760489225,1
0.099052788,0.056588136,27.79253835,5.372822285,0.975753003,0.067103529,1
0.13547693,0.637213986,25.94689562,6.459704263,0.648253185,0.661617371,0
0.23917723,-0.530365005,22.61790331,7.897900969,0.560156414,1.752946776,0
0.097403212,0.0717307,26.07081378,3.572638807,2.04907675,0.943467669,0
0.195650073,3.074530714,24.53305394,1.592356741,0.591564542,1.034085164,0
0.052538087,-0.015821884,24.56216338,2.430562892,3.278177004,0.393559965,0
0.058800228,0.107489056,23.71446218,1.890469862,2.33142557,0.8793,0
0.314303024,0.445169051,22.5525904,10.93750005,0.600555576,0.771373569,0
0.018266058,-0.095629395,25.27521521,0,1.935554035,0.386898156,0
0.022095823,0.171293203,24.27180139,8.859640847,0.755021461,1.995889268,0
0.103651285,0.245343619,24.6373204,6.710650536,2.021742925,1.305246601,0
0.186960389,0.088622831,22.86178712,6.946226606,0.721558224,0.181568063,0
