"","HSBC","CLP","CK"
"2004-05-14",40.1133361044888,17.9779518931964,19.4540642341501
"2004-05-17",39.7503194881586,17.2343383112394,18.3682559978254
"2004-05-18",39.7503194881586,16.8844025079655,18.6397080569066
"2004-05-19",40.6709782042506,17.0593704096024,19.7255162932313
"2004-05-20",40.3045729952033,17.0156284341932,19.816000312925
"2004-05-21",40.6709782042506,17.2780802866486,20.3589044310873
"2004-05-24",40.6709782042506,17.4967901636948,20.6303564901685
"2004-05-25",40.6709782042506,17.6280160899225,20.7208405098622
"2004-05-27",41.7701938313925,17.7592420161502,21.2637446280245
"2004-05-28",42.3198016449634,18.0654358440149,21.1732606083308
"2004-05-31",43.052612063058,18.1529197948334,21.1732606083308
"2004-06-01",42.5030042494871,18.2404037456518,20.9018085492496
"2004-06-02",43.052612063058,18.3278876964703,20.9922925689434
"2004-06-03",42.5030042494871,18.2404037456518,20.6303564901685
"2004-06-04",42.8694094585344,18.3716296718795,20.7208405098622
"2004-06-07",43.4190172721053,18.7653074505627,21.5351966871057
"2004-06-08",43.4190172721053,18.610587601147,21.5351966871057
"2004-06-09",43.4190172721053,18.5663819298853,21.444712667412
"2004-06-10",43.4190172721053,18.7432046149319,21.7161647264931
"2004-06-11",43.2358146675817,18.6989989436702,21.7161647264931
"2004-06-14",42.5030042494871,18.4337649161004,20.9018085492496
"2004-06-15",42.3198016449634,18.610587601147,20.8113245295559
"2004-06-16",42.6862068540107,18.7432046149319,20.8113245295559
"2004-06-17",42.5030042494871,18.7432046149319,20.5398724704747
"2004-06-18",41.9533964359161,18.5221762586237,19.816000312925
"2004-06-21",41.9533964359161,18.6989989436702,19.7255162932313
"2004-06-23",41.9533964359161,18.5663819298853,19.816000312925
"2004-06-24",42.6862068540107,18.8758216287168,20.5398724704747
"2004-06-25",42.6862068540107,18.8316159574551,20.449388450781
"2004-06-28",42.6862068540107,18.7874102861935,20.7208405098622
"2004-06-29",42.6862068540107,18.7432046149319,20.449388450781
"2004-06-30",43.052612063058,18.8758216287168,20.8113245295559
"2004-07-02",42.5030042494871,18.610587601147,20.9018085492496
"2004-07-05",42.5030042494871,18.7874102861935,21.1732606083308
"2004-07-06",42.5030042494871,18.8758216287168,21.3542286477182
"2004-07-07",42.5030042494871,19.0084386425016,21.6256807067994
"2004-07-08",42.1365990404398,18.7432046149319,21.1732606083308
"2004-07-09",42.5030042494871,18.6989989436702,21.1732606083308
"2004-07-12",42.5030042494871,18.9200272999784,21.1732606083308
"2004-07-13",42.3198016449634,18.8316159574551,20.8113245295559
"2004-07-14",41.9533964359161,18.6989989436702,20.3589044310873
"2004-07-15",42.1365990404398,18.7432046149319,20.5398724704747
"2004-07-16",42.1365990404398,18.9200272999784,20.7208405098622
"2004-07-19",42.5030042494871,18.96423297124,20.8113245295559
"2004-07-20",42.1365990404398,19.0084386425016,20.7208405098622
"2004-07-21",42.6862068540107,19.2294669988098,21.5351966871057
"2004-07-22",42.5030042494871,19.1410556562865,21.5351966871057
"2004-07-23",42.5030042494871,19.3620840125947,21.5351966871057
"2004-07-26",42.3198016449634,19.2736726700714,21.5351966871057
"2004-07-27",42.1365990404398,19.2736726700714,21.3542286477182
"2004-07-28",42.3198016449634,19.3620840125947,21.2637446280245
"2004-07-29",42.1365990404398,19.1852613275482,20.9922925689434
"2004-07-30",42.1365990404398,19.3620840125947,20.9018085492496
"2004-08-02",42.1365990404398,19.3178783413331,20.8113245295559
"2004-08-03",43.2358146675817,19.4062896838563,20.9922925689434
"2004-08-04",43.052612063058,19.1410556562865,21.1732606083308
"2004-08-05",43.602219876629,19.2294669988098,21.6256807067994
"2004-08-06",43.602219876629,19.2736726700714,22.078100805268
"2004-08-09",43.602219876629,19.4062896838563,22.2590688446555
"2004-08-10",43.4190172721053,19.5389066976412,21.9876167855743
"2004-08-11",43.4190172721053,19.5831123689029,21.8066487461868
"2004-08-12",43.4190172721053,19.9367577389959,21.8971327658806
"2004-08-13",43.2358146675817,19.5389066976412,22.1685848249617
"2004-08-16",43.052612063058,19.2736726700714,21.8971327658806
"2004-08-17",43.2358146675817,19.3620840125947,22.078100805268
"2004-08-18",43.2409715673345,19.4062896838563,21.9876167855743
"2004-08-19",43.6105525209015,19.6273180401645,22.2590688446555
"2004-08-20",43.6105525209015,19.5389066976412,22.4400368840429
"2004-08-23",43.6105525209015,19.7599350539494,22.9829410022052
"2004-08-24",44.1649239512519,19.8483463964726,23.7972971794487
"2004-08-25",44.5345049048189,19.7599350539494,24.1592332582236
"2004-08-26",44.3497144280354,19.7157293826878,24.1592332582236
"2004-08-27",44.9040858583858,19.804140725211,24.0687492385299
"2004-08-30",44.9040858583858,19.8483463964726,24.340201297611
"2004-08-31",44.7192953816023,19.9367577389959,24.340201297611
"2004-09-01",45.2736668119528,19.9590833355681,24.6116533566922
"2004-09-02",45.0888763351693,19.9590833355681,24.6116533566922
"2004-09-03",45.0888763351693,19.9590833355681,24.340201297611
"2004-09-06",45.4584572887363,20.2269904944348,24.9735894354671
"2004-09-07",45.4584572887363,20.0930369150015,25.2450414945483
"2004-09-08",45.2736668119528,20.048385721857,24.7926213960796
"2004-09-09",45.0888763351693,20.1376881081459,24.340201297611
"2004-09-10",45.2736668119528,20.0930369150015,24.6116533566922
"2004-09-13",45.6432477655197,20.1823393012904,24.8831054157734
"2004-09-14",45.6432477655197,20.0930369150015,24.9735894354671
"2004-09-15",45.6432477655197,20.0037345287126,24.7926213960796
"2004-09-16",45.6432477655197,20.1376881081459,25.1545574748545
"2004-09-17",45.8280382423032,19.9144321424237,25.0640734551608
"2004-09-20",45.6432477655197,19.8697809492792,24.7926213960796
"2004-09-21",45.6432477655197,19.8697809492792,24.9735894354671
"2004-09-22",45.4584572887363,19.9144321424237,25.1545574748545
"2004-09-23",45.8280382423032,19.7358273698459,24.7926213960796
"2004-09-24",45.6432477655197,19.6018737904126,24.0687492385299
"2004-09-27",45.6432477655197,19.6911761767015,23.9782652188362
"2004-09-28",45.4584572887363,19.646524983557,23.706813159755
"2004-09-30",45.8280382423032,19.9144321424237,24.1592332582236
"2004-10-04",46.3824096726537,20.1376881081459,24.7926213960796
"2004-10-05",46.1976191958702,20.048385721857,24.9309243339908
"2004-10-06",46.1976191958702,20.048385721857,24.7489467841077
"2004-10-07",46.3824096726537,20.0930369150015,24.6579580091661
"2004-10-08",46.3824096726537,20.048385721857,24.2940029093998
"2004-10-11",46.5672001494371,20.048385721857,24.3849916843414
"2004-10-12",46.3824096726537,20.0037345287126,24.5669692342246
"2004-10-13",46.3824096726537,19.8697809492792,24.1120253595167
"2004-10-14",46.0128287190867,19.7358273698459,23.839059034692
"2004-10-15",46.0128287190867,19.7804785629903,23.9300478096335
"2004-10-18",46.1976191958702,19.8251297561348,23.6570814848088
"2004-10-19",46.5672001494371,19.9590833355681,23.839059034692
"2004-10-20",46.3824096726537,19.8697809492792,23.4751039349257
"2004-10-21",46.3824096726537,19.8251297561348,23.2931263850425
"2004-10-25",46.0128287190867,19.646524983557,22.9291712852763
"2004-10-26",46.0128287190867,19.7358273698459,22.9291712852763
"2004-10-27",46.0128287190867,19.7804785629903,22.9291712852763
"2004-10-28",46.5672001494371,20.0037345287126,23.6570814848088
"2004-10-29",46.5672001494371,19.9590833355681,23.4751039349257
"2004-11-01",46.7519906262206,19.8251297561348,23.5660927098673
"2004-11-02",47.3063620565711,19.9590833355681,24.1120253595167
"2004-11-03",47.4911525333546,20.0037345287126,24.2940029093998
"2004-11-04",47.8607334869215,19.9144321424237,24.2030141344583
"2004-11-05",48.2303144404885,20.0037345287126,24.475980459283
"2004-11-08",48.7846858708389,20.0037345287126,24.3849916843414
"2004-11-09",48.415104917272,20.0037345287126,24.2030141344583
"2004-11-10",48.9694763476224,20.048385721857,24.5669692342246
"2004-11-11",48.9694763476224,19.9144321424237,24.5669692342246
"2004-11-12",49.7086382547563,19.9144321424237,24.9309243339908
"2004-11-15",50.4478001618902,19.9144321424237,25.2038906588156
"2004-11-16",49.5238477779728,19.8251297561348,24.8399355590493
"2004-11-17",49.5238477779728,19.8697809492792,25.0219131089324
"2004-11-18",49.1542668244059,19.7804785629903,25.2038906588156
"2004-11-19",48.9694763476224,19.8251297561348,25.2038906588156
"2004-11-22",48.9694763476224,19.8251297561348,25.4768569836403
"2004-11-23",49.5238477779728,19.9144321424237,26.4777335079976
"2004-11-24",49.3415568458503,19.9144321424237,26.6597110578807
"2004-11-25",48.7829731834444,19.9590833355681,26.5687222829391
"2004-11-26",48.7829731834444,20.0037345287126,26.5687222829391
"2004-11-29",49.3415568458503,20.0930369150015,27.2056437075302
"2004-11-30",49.5277513999856,19.9590833355681,27.2966324824717
"2004-12-01",49.7139459541208,20.071846518255,27.3876212574133
"2004-12-02",49.9001405082561,20.0267412451802,27.4786100323549
"2004-12-03",49.7139459541208,19.9816359721055,27.023666157647
"2004-12-06",50.0863350623914,20.071846518255,27.2056437075302
"2004-12-07",49.9001405082561,20.071846518255,27.4786100323549
"2004-12-08",49.3415568458503,20.0267412451802,26.6597110578807
"2004-12-09",49.3415568458503,20.0267412451802,26.6597110578807
"2004-12-10",48.9691677375797,19.9816359721055,26.4777335079976
"2004-12-13",48.4105840751738,19.9365306990308,26.4777335079976
"2004-12-14",48.9691677375797,19.891425425956,26.9326773827054
"2004-12-15",48.9691677375797,20.071846518255,26.9326773827054
"2004-12-16",48.9691677375797,19.9816359721055,26.8416886077639
"2004-12-17",48.4105840751738,20.0267412451802,26.7506998328223
"2004-12-20",49.155362291715,20.071846518255,27.2056437075302
"2004-12-21",49.155362291715,20.071846518255,27.2966324824717
"2004-12-22",49.155362291715,20.0267412451802,27.2966324824717
"2004-12-23",49.3415568458503,20.1169517913297,27.9335539070627
"2004-12-24",49.3415568458503,20.071846518255,27.7515763571796
"2004-12-28",49.3415568458503,20.0267412451802,27.9335539070627
"2004-12-29",49.5277513999856,20.1169517913297,28.0245426820043
"2004-12-30",49.155362291715,20.1169517913297,28.0245426820043
"2004-12-31",49.5277513999856,20.1620570644044,28.2065202318874
"2005-01-03",49.3415568458503,20.1169517913297,28.2065202318874
"2005-01-04",48.9691677375797,20.071846518255,27.8425651321212
"2005-01-05",48.5967786293091,19.891425425956,27.023666157647
"2005-01-06",48.5967786293091,19.891425425956,26.9326773827054
"2005-01-07",48.2243895210386,19.7561096067319,26.386744733056
"2005-01-10",47.6658058586327,19.891425425956,26.386744733056
"2005-01-11",47.852000412768,19.8012148798066,26.1137784082313
"2005-01-12",47.852000412768,19.8463201528813,26.2047671831729
"2005-01-13",47.6658058586327,19.8463201528813,26.5687222829391
